BusinessEntityID,ContactTypeID,PersonID,CountryRegionCode,name_country,CountryRegionName,IsOnlyStateProvinceFlag,StateProvinceCode,StateProvinceID,StateProvinceName,TerritoryID,AddressID,AddressLine1,AddressLine2,City,PostalCode,SpatialLocation,AddressTypeID,name_type
1,,,US,United States,United States,False,WA,79.0,Washington,1.0,249.0,4350 Minute Dr.,,Newport Hills,98006,POINT (-122.281024823391 47.5991026737557),2.0,Home
2,,,US,United States,United States,False,WA,79.0,Washington,1.0,293.0,7559 Worth Ct.,,Renton,98055,POINT (-122.250007872958 47.5170437633688),2.0,Home
3,,,US,United States,United States,False,WA,79.0,Washington,1.0,224.0,2137 Birchwood Dr,,Redmond,98052,POINT (-122.277154090984 47.6393754959607),2.0,Home
4,,,US,United States,United States,False,MN,36.0,Minnesota,3.0,11387.0,5678 Lakeview Blvd.,,Minneapolis,55402,POINT (-93.365502252638 45.0164202586074),2.0,Home
5,,,US,United States,United States,False,WA,79.0,Washington,1.0,190.0,9435 Breck Court,,Bellevue,98004,POINT (-122.326254793697 47.5725168129869),2.0,Home
6,,,US,United States,United States,False,WA,79.0,Washington,1.0,286.0,5670 Bel Air Dr.,,Renton,98055,POINT (-122.115586632794 47.407896454215),2.0,Home
7,,,US,United States,United States,False,WA,79.0,Washington,1.0,49.0,7048 Laurel,,Kenmore,98028,POINT (-122.241507500362 47.7573417899841),2.0,Home
8,,,US,United States,United States,False,WA,79.0,Washington,1.0,230.0,475 Santa Maria,,Everett,98201,POINT (-122.091665034501 47.9322466056948),2.0,Home
9,,,US,United States,United States,False,WA,79.0,Washington,1.0,187.0,7808 Brown St.,,Bellevue,98004,POINT (-122.179609932805 47.5963268814618),2.0,Home
10,,,US,United States,United States,False,CA,9.0,California,4.0,11386.0,1234 Seaside Way,,San Francisco,94109,POINT (-122.347279225183 37.8437291114002),2.0,Home
11,,,US,United States,United States,False,WA,79.0,Washington,1.0,32505.0,5458 Gladstone Drive,,Kenmore,98028,POINT (-122.278179952612 47.7095844481941),2.0,Home
12,,,US,United States,United States,False,WA,79.0,Washington,1.0,1.0,1970 Napa Ct.,,Bothell,98011,POINT (-122.164644615406 47.7869921906598),2.0,Home
13,,,US,United States,United States,False,WA,79.0,Washington,1.0,219.0,3397 Rancho View Drive,,Redmond,98052,POINT (-122.032917290642 47.7395183273336),2.0,Home
14,,,US,United States,United States,False,WA,79.0,Washington,1.0,295.0,6510 Hacienda Drive,,Renton,98055,POINT (-122.250007872958 47.3984053838538),2.0,Home
15,,,US,United States,United States,False,WA,79.0,Washington,1.0,287.0,7165 Brock Lane,,Renton,98055,POINT (-122.078926294567 47.4411152004792),2.0,Home
16,,,US,United States,United States,False,WA,79.0,Washington,1.0,214.0,3768 Door Way,,Redmond,98052,POINT (-122.240518570933 47.6250693771931),2.0,Home
17,,,US,United States,United States,False,WA,79.0,Washington,1.0,234.0,7883 Missing Canyon Court,,Everett,98201,POINT (-122.055004540546 47.9946396372232),2.0,Home
18,,,US,United States,United States,False,WA,79.0,Washington,1.0,209.0,9906 Oak Grove Road,,Redmond,98052,POINT (-121.971858090557 47.7442870335894),2.0,Home
19,,,US,United States,United States,False,WA,79.0,Washington,1.0,174.0,6307 Greenbelt Way,,Bellevue,98004,POINT (-122.02074466684 47.5629927855969),2.0,Home
20,,,US,United States,United States,False,WA,79.0,Washington,1.0,191.0,6951 Harmony Way,,Sammamish,98074,POINT (-121.967325344797 47.6752081880636),2.0,Home
21,,,US,United States,United States,False,WA,79.0,Washington,1.0,171.0,8668 Via Neruda,,Bellevue,98004,POINT (-122.130728312508 47.6868051416667),2.0,Home
22,,,US,United States,United States,False,WA,79.0,Washington,1.0,233.0,1185 Dallas Drive,,Everett,98201,POINT (-122.07944486985 48.0138374930781),2.0,Home
23,,,US,United States,United States,False,WA,79.0,Washington,1.0,229.0,3928 San Francisco,,Everett,98201,POINT (-122.323848162882 48.0234364210055),2.0,Home
24,,,US,United States,United States,False,WA,79.0,Washington,1.0,243.0,3238 Laguna Circle,,Everett,98201,POINT (-122.257983856414 47.922893803634),2.0,Home
25,,,US,United States,United States,False,WA,79.0,Washington,1.0,63.0,9652 Los Angeles,,Monroe,98272,POINT (-121.902669047443 47.8177650735029),2.0,Home
26,,,US,United States,United States,False,WA,79.0,Washington,1.0,166.0,3670 All Ways Drive,,Bellevue,98004,POINT (-122.094067097285 47.6391850047168),2.0,Home
27,,,US,United States,United States,False,WA,79.0,Washington,1.0,77.0,9693 Mellowood Street,,Duvall,98019,POINT (-121.785665948062 47.8100503205354),2.0,Home
28,,,US,United States,United States,False,WA,79.0,Washington,1.0,61.0,7726 Driftwood Drive,,Monroe,98272,POINT (-121.878286075336 47.8177650735029),2.0,Home
29,,,US,United States,United States,False,WA,79.0,Washington,1.0,218.0,9863 Ridge Place,,Redmond,98052,POINT (-122.301577771018 47.758593152357),2.0,Home
